timecode	yday	degC	Pa	pressAltComp
1530707914	184	21.2	100542	64.97438855538665
1530708414	184	21.2	100534	66.31488863998872
1530708914	184	21.1	100544	65.81218086569335
1530709414	184	21.1	100556	64.38797408038852
1530709914	184	21.1	100563	64.13666370977722
1530710414	184	21.1	100557	63.801592658932144
1530710914	184	21.0	100570	63.131482931359216
1530711414	184	21.0	100583	62.21015252738666
1530711914	184	21.0	100583	61.205157859427366
1530712414	184	20.9	100567	62.79644425308105
1530712914	184	20.9	100560	63.382769021012244
1530713414	184	20.9	100563	63.4665323997154
1530713914	184	20.9	100567	62.9639622435096
1530714414	184	20.9	100563	63.88535940989396
1530714914	184	20.9	100563	63.215244286848915
1530715414	184	20.9	100560	63.88535940989396
1530715914	184	20.9	100548	64.30420328230585
1530716414	184	20.9	100547	64.13666370977722
1530716914	184	20.8	100555	64.05289493530665
1530717414	184	20.8	100557	64.38797408038852
1530717914	184	20.8	100557	64.38797408038852
1530718414	184	20.8	100565	63.55029645284765
1530718914	184	20.8	100551	64.6392905220576
1530719414	184	20.8	100537	66.39867563091538
